Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,478,841,113.24","6.27","2,478,841,113.24","5,404,293.00","458.68","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,367,021,016.77","5.99","2,367,021,016.77","17,005,683.00","139.19","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,140,871,048.40","5.42","2,140,871,048.40","10,707,032.00","199.95","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,403,029,509.20","3.55","1,403,029,509.20","6,820,756.00","205.70","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","1,027,060,865.95","2.60","1,027,060,865.95","1,592,219.00","645.05","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","808,704,148.99","2.05","808,704,148.99","3,342,167.00","241.97","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","734,076,617.04","1.86","734,076,617.04","4,271,364.00","171.86","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","723,898,131.48","1.83","723,898,131.48","2,019,636.00","358.43","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","673,267,993.28","1.70","673,267,993.28","1,330,096.00","506.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","609,910,577.60","1.54","609,910,577.60","3,526,310.00","172.96","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","539,724,573.50","1.37","539,724,573.50","2,041,550.00","264.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","454,306,814.40","1.15","454,306,814.40","1,253,606.00","362.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","420,357,987.78","1.06","420,357,987.78","581,754.00","722.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","368,419,183.54","0.93","368,419,183.54","310,939.00","1,184.86","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","342,363,539.00","0.87","342,363,539.00","592,550.00","577.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","328,115,806.83","0.83","328,115,806.83","3,195,207.00","102.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","324,970,634.70","0.82","324,970,634.70","322,155.00","1,008.74","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","306,240,388.60","0.77","306,240,388.60","3,153,866.00","97.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","289,021,066.88","0.73","289,021,066.88","1,714,648.00","168.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","269,214,375.08","0.68","269,214,375.08","1,752,926.00","153.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","265,457,171.07","0.67","265,457,171.07","720,783.00","368.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","238,973,684.70","0.60","238,973,684.70","1,287,435.00","185.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","214,140,225.04","0.54","214,140,225.04","4,840,421.00","44.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","201,712,252.05","0.51","201,712,252.05","2,821,545.00","71.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","201,009,641.91","0.51","201,009,641.91","1,130,093.00","177.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","199,264,625.64","0.50","199,264,625.64","668,292.00","298.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","190,859,627.84","0.48","190,859,627.84","781,699.00","244.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","189,081,939.60","0.48","189,081,939.60","1,160,724.00","162.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","182,981,566.30","0.46","182,981,566.30","2,902,166.00","63.05","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","182,980,078.16","0.46","182,980,078.16","1,495,913.00","122.32","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","179,343,548.00","0.45","179,343,548.00","671,900.00","266.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","178,195,210.11","0.45","178,195,210.11","2,391,561.00","74.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","172,339,795.38","0.44","172,339,795.38","666,202.00","258.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","167,104,973.95","0.42","167,104,973.95","1,257,847.00","132.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","163,922,722.11","0.41","163,922,722.11","1,188,621.00","137.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","163,154,548.76","0.41","163,154,548.76","523,166.00","311.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","162,026,106.72","0.41","162,026,106.72","349,134.00","464.08","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","151,617,493.89","0.38","151,617,493.89","149,343.00","1,015.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","150,206,702.52","0.38","150,206,702.52","198,366.00","757.22","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","147,776,223.90","0.37","147,776,223.90","1,319,195.00","112.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","144,865,816.20","0.37","144,865,816.20","455,940.00","317.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","142,757,074.84","0.36","142,757,074.84","5,213,918.00","27.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","142,588,777.50","0.36","142,588,777.50","256,570.00","555.75","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","140,776,932.00","0.36","140,776,932.00","1,842,630.00","76.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","132,685,515.97","0.34","132,685,515.97","3,062,209.00","43.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","132,584,707.14","0.34","132,584,707.14","219,199.00","604.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","132,312,096.00","0.33","132,312,096.00","24,048.00","5,502.00","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","132,160,440.53","0.33","132,160,440.53","1,169,251.00","113.03","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","131,791,246.08","0.33","131,791,246.08","999,024.00","131.92","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","130,748,661.52","0.33","130,748,661.52","316,307.00","413.36","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","130,210,060.00","0.33","130,210,060.00","965,950.00","134.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","124,468,865.70","0.31","124,468,865.70","1,476,499.00","84.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","123,400,544.41","0.31","123,400,544.41","350,779.00","351.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","122,323,897.54","0.31","122,323,897.54","661,246.00","184.99","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","120,374,201.50","0.30","120,374,201.50","811,475.00","148.34","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","118,923,827.94","0.30","118,923,827.94","402,613.00","295.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","117,784,838.80","0.30","117,784,838.80","424,756.00","277.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","116,887,832.40","0.30","116,887,832.40","227,364.00","514.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","113,169,562.52","0.29","113,169,562.52","543,614.00","208.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","112,049,911.25","0.28","112,049,911.25","277,523.00","403.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","111,507,979.00","0.28","111,507,979.00","1,067,062.00","104.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","110,496,955.70","0.28","110,496,955.70","389,705.00","283.54","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","106,816,618.08","0.27","106,816,618.08","833,463.00","128.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","106,595,488.02","0.27","106,595,488.02","473,358.00","225.19","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","105,663,478.80","0.27","105,663,478.80","1,204,005.00","87.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","104,554,593.77","0.26","104,554,593.77","822,811.00","127.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","104,504,316.48","0.26","104,504,316.48","107,039.00","976.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","103,870,970.84","0.26","103,870,970.84","1,375,228.00","75.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","103,063,333.12","0.26","103,063,333.12","1,493,888.00","68.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","100,738,770.38","0.25","100,738,770.38","906,658.00","111.11","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","100,489,227.00","0.25","100,489,227.00","262,820.00","382.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","98,605,083.99","0.25","98,605,083.99","443,149.00","222.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","96,767,970.72","0.24","96,767,970.72","298,556.00","324.12","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","96,612,428.85","0.24","96,612,428.85","4,119,933.00","23.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","94,336,885.44","0.24","94,336,885.44","591,528.00","159.48","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","93,442,789.32","0.24","93,442,789.32","2,725,869.00","34.28","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","93,283,650.11","0.24","93,283,650.11","197,983.00","471.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","93,060,338.67","0.24","93,060,338.67","286,507.00","324.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","92,391,572.01","0.23","92,391,572.01","410,757.00","224.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","91,213,560.65","0.23","91,213,560.65","181,177.00","503.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","89,330,810.94","0.23","89,330,810.94","469,002.00","190.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","87,782,219.96","0.22","87,782,219.96","460,171.00","190.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","87,244,719.84","0.22","87,244,719.84","469,512.00","185.82","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","86,439,507.30","0.22","86,439,507.30","293,862.00","294.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","83,990,327.40","0.21","83,990,327.40","187,860.00","447.09","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","82,881,059.17","0.21","82,881,059.17","358,033.00","231.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","81,966,471.80","0.21","81,966,471.80","342,526.00","239.30","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","80,493,703.20","0.20","80,493,703.20","940,347.00","85.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","78,589,028.80","0.20","78,589,028.80","933,805.00","84.16","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","77,686,612.75","0.20","77,686,612.75","360,077.00","215.75","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","77,562,161.60","0.20","77,562,161.60","801,262.00","96.80","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","76,941,272.40","0.19","76,941,272.40","933,640.00","82.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","76,695,597.22","0.19","76,695,597.22","167,162.00","458.81","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","76,319,324.64","0.19","76,319,324.64","858,292.00","88.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","74,722,987.56","0.19","74,722,987.56","261,388.00","285.87","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","74,609,934.03","0.19","74,609,934.03","96,399.00","773.97","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","73,658,085.93","0.19","73,658,085.93","412,581.00","178.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","73,440,135.12","0.19","73,440,135.12","672,344.00","109.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","73,275,850.68","0.19","73,275,850.68","1,231,941.00","59.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","73,202,731.14","0.19","73,202,731.14","190,518.00","384.23","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","72,785,758.08","0.18","72,785,758.08","524,091.00","138.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","72,574,992.28","0.18","72,574,992.28","153,212.00","473.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","72,552,194.19","0.18","72,552,194.19","339,489.00","213.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","71,152,772.55","0.18","71,152,772.55","164,595.00","432.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","70,728,513.75","0.18","70,728,513.75","796,941.00","88.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","70,534,297.35","0.18","70,534,297.35","1,474,071.00","47.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","69,505,707.44","0.18","69,505,707.44","229,112.00","303.37","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","69,331,053.76","0.18","69,331,053.76","291,601.00","237.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","69,186,850.15","0.18","69,186,850.15","823,163.00","84.05","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","68,523,469.27","0.17","68,523,469.27","447,661.00","153.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","67,800,898.31","0.17","67,800,898.31","106,493.00","636.67","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","65,912,684.70","0.17","65,912,684.70","412,935.00","159.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","65,685,958.26","0.17","65,685,958.26","973,558.00","67.47","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","65,610,208.68","0.17","65,610,208.68","92,038.00","712.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","64,793,079.90","0.16","64,793,079.90","561,222.00","115.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","64,710,390.51","0.16","64,710,390.51","749,223.00","86.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","64,176,384.50","0.16","64,176,384.50","168,650.00","380.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","63,880,123.50","0.16","63,880,123.50","3,154,574.00","20.25","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","62,307,721.19","0.16","62,307,721.19","168,113.00","370.63","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","62,140,510.89","0.16","62,140,510.89","70,023.00","887.43","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","62,094,425.49","0.16","62,094,425.49","93,063.00","667.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","61,112,184.05","0.15","61,112,184.05","195,841.00","312.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","61,001,456.10","0.15","61,001,456.10","178,419.00","341.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","60,656,086.50","0.15","60,656,086.50","170,502.00","355.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","59,927,387.39","0.15","59,927,387.39","489,883.00","122.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","59,101,755.18","0.15","59,101,755.18","394,986.00","149.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","57,877,984.32","0.15","57,877,984.32","39,624.00","1,460.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","57,376,337.06","0.15","57,376,337.06","913,927.00","62.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","56,828,433.86","0.14","56,828,433.86","42,031.00","1,352.06","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"CTAS","CINTAS CORP","Industrials","Equity","56,482,821.50","0.14","56,482,821.50","251,314.00","224.75","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","56,399,280.00","0.14","56,399,280.00","198,240.00","284.50","United States","NASDAQ","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","55,403,049.20","0.14","55,403,049.20","115,030.00","481.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","54,714,950.40","0.14","54,714,950.40","327,360.00","167.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","54,674,534.40","0.14","54,674,534.40","198,672.00","275.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","54,592,681.00","0.14","54,592,681.00","591,470.00","92.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","53,368,120.68","0.14","53,368,120.68","885,484.00","60.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","52,756,316.16","0.13","52,756,316.16","858,664.00","61.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","52,516,708.90","0.13","52,516,708.90","256,705.00","204.58","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","52,426,630.36","0.13","52,426,630.36","142,883.00","366.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","52,262,347.86","0.13","52,262,347.86","212,682.00","245.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","52,086,979.80","0.13","52,086,979.80","530,958.00","98.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","51,836,140.51","0.13","51,836,140.51","730,807.00","70.93","United States","NASDAQ","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","50,906,084.65","0.13","50,906,084.65","134,441.00","378.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","50,864,697.07","0.13","50,864,697.07","111,793.00","454.99","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","50,607,577.10","0.13","50,607,577.10","289,021.00","175.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","50,188,456.30","0.13","50,188,456.30","295,070.00","170.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","50,158,459.39","0.13","50,158,459.39","119,873.00","418.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","50,155,047.60","0.13","50,155,047.60","380,828.00","131.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","49,866,693.36","0.13","49,866,693.36","415,833.00","119.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","49,661,648.64","0.13","49,661,648.64","1,134,864.00","43.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","49,405,014.45","0.12","49,405,014.45","993,465.00","49.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","48,830,478.36","0.12","48,830,478.36","478,074.00","102.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","48,065,893.72","0.12","48,065,893.72","181,868.00","264.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","47,461,527.56","0.12","47,461,527.56","99,004.00","479.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","46,894,522.80","0.12","46,894,522.80","459,570.00","102.04","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","46,512,576.00","0.12","46,512,576.00","156,608.00","297.00","United States","NASDAQ","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","46,397,899.05","0.12","46,397,899.05","520,915.00","89.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","46,108,318.57","0.12","46,108,318.57","76,163.00","605.39","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC CLASS A","Information Technology","Equity","45,790,238.47","0.12","45,790,238.47","226,337.00","202.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","45,756,169.36","0.12","45,756,169.36","497,566.00","91.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","45,212,726.02","0.11","45,212,726.02","12,254.00","3,689.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
